Hz,175n,175m,175S,175Son
90.0,5.588045e-10,5.739417e-10,6.179273e-10,5.233484e-10
90.5,5.946196e-10,5.661051e-10,6.744023e-10,5.096517e-10
91.0,6.74909e-10,5.057526e-10,6.875691e-10,5.169608e-10
91.5,5.555399e-10,4.951989e-10,6.690585e-10,5.410714e-10
92.0,5.353539e-10,5.287129e-10,6.186337e-10,5.873282e-10
92.5,5.808353e-10,5.334228e-10,5.274758e-10,5.805922e-10
93.0,5.397041e-10,5.696586e-10,4.958935e-10,5.355598e-10
93.5,4.949509e-10,5.305393e-10,5.592491e-10,4.778055e-10
94.0,5.591372e-10,4.953342e-10,5.784751e-10,5.374762e-10
94.5,5.28138e-10,4.909716e-10,5.913335e-10,4.938172e-10
95.0,4.651166e-10,4.937643e-10,5.797436e-10,4.551551e-10
95.5,5.186349e-10,4.603572e-10,5.428378e-10,5.626605e-10
96.0,5.200873e-10,5.194156e-10,5.469223e-10,5.419331e-10
96.5,4.597296e-10,5.234121e-10,5.005278e-10,4.820956e-10
97.0,5.084328e-10,5.592362e-10,4.902578e-10,5.647424e-10
97.5,4.660469e-10,5.687388e-10,4.992999e-10,5.197249e-10
98.0,4.211726e-10,5.975193e-10,5.158756e-10,4.807335e-10
98.5,4.693074e-10,5.713551e-10,4.883489e-10,5.094064e-10
99.0,4.767423e-10,5.491801e-10,4.822566e-10,5.324017e-10
99.5,5.10961e-10,5.312043e-10,4.816995e-10,4.955967e-10
100.0,5.13682e-10,4.658315e-10,4.928947e-10,4.491413e-10
100.5,5.35967e-10,4.609535e-10,4.858708e-10,4.582865e-10
101.0,4.706188e-10,4.827106e-10,4.480865e-10,4.81709e-10
101.5,5.071453e-10,4.842451e-10,4.319488e-10,4.658351e-10
102.0,4.383613e-10,4.442693e-10,4.69819e-10,4.081415e-10
102.5,4.200601e-10,4.141855e-10,4.747158e-10,4.245488e-10
103.0,3.748596e-10,4.123133e-10,4.449208e-10,4.880752e-10
103.5,4.185008e-10,4.498661e-10,4.257427e-10,4.553208e-10
104.0,4.375718e-10,5.08154e-10,4.402919e-10,4.487608e-10
104.5,4.641464e-10,5.180154e-10,4.361445e-10,4.019112e-10
105.0,4.682556e-10,4.569608e-10,4.385272e-10,3.864714e-10
105.5,4.956628e-10,4.784923e-10,4.246734e-10,4.304521e-10
106.0,4.176055e-10,5.262282e-10,4.956527e-10,4.426694e-10
106.5,4.150117e-10,5.219703e-10,4.974103e-10,4.346827e-10
107.0,4.380343e-10,4.867542e-10,4.18983e-10,4.380119e-10
107.5,4.133277e-10,4.84274e-10,3.848071e-10,4.758274e-10
