Hz,113NE,113NW,113SW,113M,113SE
113.5,4.158592e-10,4.326295e-10,4.30079e-10,4.428342e-10,4.291761e-10
114.0,4.023236e-10,4.452502e-10,4.126604e-10,3.765796e-10,4.424997e-10
114.5,4.160431e-10,3.581965e-10,3.83625e-10,3.985752e-10,3.979969e-10
115.0,3.613491e-10,3.273718e-10,3.945897e-10,3.835036e-10,4.364953e-10
115.5,3.247132e-10,3.595548e-10,3.957935e-10,3.978431e-10,3.888575e-10
116.0,3.569849e-10,3.493568e-10,3.637608e-10,4.046673e-10,3.921306e-10
116.5,4.347331e-10,3.947088e-10,4.244348e-10,3.564271e-10,4.234458e-10
117.0,4.347519e-10,3.88387e-10,4.794645e-10,3.983497e-10,4.021579e-10
117.5,3.820095e-10,3.363361e-10,4.21552e-10,4.050762e-10,4.192457e-10
118.0,3.999839e-10,3.556549e-10,3.969532e-10,3.919427e-10,4.940781e-10
118.5,4.212538e-10,3.614986e-10,3.96042e-10,4.019374e-10,4.201195e-10
119.0,4.24875e-10,3.597436e-10,3.291064e-10,4.035187e-10,3.629797e-10
119.5,3.770607e-10,4.223213e-10,3.286691e-10,3.558387e-10,3.679553e-10
120.0,3.866257e-10,4.196329e-10,3.652646e-10,3.714585e-10,3.624369e-10
120.5,4.054047e-10,3.641679e-10,3.679973e-10,3.843976e-10,3.958265e-10
121.0,3.81504e-10,3.861069e-10,4.244307e-10,3.388364e-10,4.257112e-10
121.5,3.909571e-10,4.122555e-10,3.366119e-10,3.6591e-10,3.742018e-10
122.0,3.856615e-10,3.388485e-10,3.415286e-10,3.527781e-10,3.581237e-10
122.5,3.795093e-10,3.528449e-10,3.711575e-10,3.417031e-10,3.774637e-10
123.0,3.619127e-10,3.811471e-10,3.894878e-10,4.177916e-10,4.030786e-10
123.5,3.760384e-10,3.481089e-10,4.167094e-10,4.194828e-10,3.33804e-10
124.0,3.824447e-10,2.923642e-10,3.804372e-10,3.87194e-10,3.173146e-10
124.5,3.620428e-10,3.488985e-10,3.097513e-10,3.710117e-10,3.845649e-10
125.0,3.393182e-10,3.490144e-10,3.592426e-10,4.403804e-10,4.478823e-10
125.5,3.819031e-10,3.351663e-10,4.074401e-10,3.595355e-10,4.051847e-10
126.0,3.737222e-10,3.724109e-10,3.433087e-10,3.540243e-10,3.536977e-10
126.5,3.465408e-10,3.736303e-10,3.514971e-10,3.719818e-10,3.463068e-10
127.0,3.937043e-10,3.643219e-10,3.379786e-10,3.660081e-10,3.376063e-10
127.5,3.073315e-10,3.674712e-10,3.455642e-10,3.443944e-10,3.579363e-10
128.0,3.182341e-10,3.092009e-10,3.517376e-10,3.50097e-10,3.414363e-10
