Hz,183S,183N,183m
232.5,1.697337e-10,1.75517e-10,1.475876e-10
233.0,1.881374e-10,1.474608e-10,1.372576e-10
233.5,1.432688e-10,1.488986e-10,1.368261e-10
234.0,1.587961e-10,1.537649e-10,1.27539e-10
234.5,1.607208e-10,1.513903e-10,1.390536e-10
235.0,1.416072e-10,1.48465e-10,1.398681e-10
235.5,1.476789e-10,1.580168e-10,1.542962e-10
236.0,1.396547e-10,1.448302e-10,1.6253e-10
236.5,1.683698e-10,1.404636e-10,1.34462e-10
237.0,1.749058e-10,1.50137e-10,1.445722e-10
237.5,1.665783e-10,1.593655e-10,1.468264e-10
238.0,1.498136e-10,1.531236e-10,1.503768e-10
238.5,1.541886e-10,1.632049e-10,1.467218e-10
239.0,1.607513e-10,1.57725e-10,1.383368e-10
239.5,1.453097e-10,1.414186e-10,1.377684e-10
240.0,1.548763e-10,1.275167e-10,1.419012e-10
240.5,1.474721e-10,1.747711e-10,1.484709e-10
241.0,1.307844e-10,1.628279e-10,1.554375e-10
241.5,1.408022e-10,1.320285e-10,1.617592e-10
242.0,1.641305e-10,1.342017e-10,1.576495e-10
242.5,1.549827e-10,1.517156e-10,1.387715e-10
243.0,1.321822e-10,1.379264e-10,1.457517e-10
243.5,1.329226e-10,1.596224e-10,1.409735e-10
244.0,1.498368e-10,1.689526e-10,1.377318e-10
244.5,1.397077e-10,1.537282e-10,1.421396e-10
245.0,1.370992e-10,1.468625e-10,1.347169e-10
245.5,1.474524e-10,1.37623e-10,1.268047e-10
246.0,1.44884e-10,1.431188e-10,1.417571e-10
246.5,1.37328e-10,1.491541e-10,1.4252e-10
247.0,1.37631e-10,1.477159e-10,1.437855e-10
247.5,1.539217e-10,1.59189e-10,1.328727e-10
248.0,1.333784e-10,1.497614e-10,1.340546e-10
248.5,1.387873e-10,1.323925e-10,1.333734e-10
